battery_id,global_id,dataset_id,prediction_test,policy,policy_raw,hypothesized_cell,matched_cell,is_hypothesized,align_offset,align_rmse,n_overlap,continuation,documented_offset,usage_boundary,match_confidence,matr_label_key,external_eol_088
11,96,3,1,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c1,b3c1,1,10.0,0.0024652509336388823,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c1.pkl,1061.0
12,97,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c2,,0,,,0,0,,audit_only_not_for_training_or_tuning,unmatched_missing_parquet,MATR_b3c2.pkl,
13,98,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c3,b3c3,1,0.0,0.0013388114843217135,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c3.pkl,1113.0
14,99,3,1,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c4,b3c4,1,-2.0,0.0023745623737268535,148,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c4.pkl,1045.0
15,100,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c5,b3c5,1,11.0,0.0016940435668036905,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c5.pkl,826.0
16,101,3,1,3_7C_31PER_5_9C,3_7C_31PER_5_9C_NEWSTRUCTURE,b3c6,b3c6,1,6.0,0.002727858783751327,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c6.pkl,665.0
17,102,3,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,b3c7,b3c7,1,11.0,0.0022678356714391883,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c7.pkl,1834.0
18,103,3,0,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c8,b3c8,1,11.0,0.002773139733638782,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c8.pkl,826.0
19,104,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c9,b3c9,1,-1.0,0.003136699190200392,149,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c9.pkl,1036.0
20,105,3,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,b3c10,b3c10,1,11.0,0.0023127407049272145,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c10.pkl,1076.0
21,106,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c11,b3c11,1,11.0,0.002077227134976559,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c11.pkl,815.0
22,107,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c12,b3c12,1,11.0,0.0017924968776070343,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c12.pkl,930.0
23,108,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c13,b3c13,1,11.0,0.003297755619115584,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c13.pkl,814.0
24,109,3,1,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c14,b3c14,1,0.0,0.0036974676830058926,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c14.pkl,856.0
25,111,3,1,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,b3c16,b3c16,1,-2.0,0.002269703522329819,148,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c16.pkl,1635.0
26,112,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c17,b3c17,1,10.0,0.004575151365656849,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c17.pkl,1313.0
27,113,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c18,b3c18,1,11.0,0.0010833966968171991,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c18.pkl,1143.0
28,114,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c19,b3c19,1,4.0,0.0009904020767755562,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c19.pkl,1152.0
29,115,3,0,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c20,b3c20,1,11.0,0.0020802311765918333,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c20.pkl,811.0
30,116,3,0,3_7C_31PER_5_9C,3_7C_31PER_5_9C_NEWSTRUCTURE,b3c21,b3c21,1,4.0,0.0012676596999042086,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c21.pkl,770.0
31,119,3,0,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c24,b3c24,1,0.0,0.004836039317704731,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c24.pkl,823.0
32,120,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c25,b3c25,1,0.0,0.005078992178283427,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c25.pkl,988.0
33,121,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c26,b3c26,1,11.0,0.004318681818672195,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c26.pkl,1025.0
34,122,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c27,b3c27,1,11.0,0.004081577152907421,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c27.pkl,847.0
35,123,3,0,3_7C_31PER_5_9C,3_7C_31PER_5_9C_NEWSTRUCTURE,b3c28,b3c28,1,11.0,0.005341162034314525,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c28.pkl,539.0
36,125,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c30,b3c30,1,11.0,0.0021890331927863836,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c30.pkl,933.0
37,128,3,0,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c33,b3c33,1,11.0,0.0017774517353923874,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c33.pkl,1282.0
38,129,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c34,b3c34,1,11.0,0.0020733175432405804,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c34.pkl,1156.0
39,130,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c35,b3c35,1,11.0,0.001405715556371733,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c35.pkl,1091.0
40,131,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c36,b3c36,1,11.0,0.0024119447229625167,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c36.pkl,921.0
41,132,3,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,b3c37,,0,,,0,0,,audit_only_not_for_training_or_tuning,unmatched_missing_parquet,MATR_b3c37.pkl,
42,133,3,0,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c38,b3c38,1,11.0,0.0014645476578634138,150,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c38.pkl,1932.0
43,134,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c39,b3c39,1,11.0,0.0034146386921991225,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c39.pkl,1154.0
44,135,3,0,5_6C_19PER_4_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,b3c40,b3c40,1,11.0,0.0034754098067555916,150,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c40.pkl,794.0
45,136,3,0,5_6C_36PER_4_3C,5_6C_36PER_4_3C_NEWSTRUCTURE,b3c41,b3c41,1,-2.0,0.0031920262604000793,148,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c41.pkl,784.0
46,137,3,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,b3c42,,0,,,0,0,,audit_only_not_for_training_or_tuning,unmatched_missing_parquet,MATR_b3c42.pkl,
47,138,3,0,5C_67PER_4C,5C_67PER_4C_NEWSTRUCTURE,b3c43,,0,,,0,0,,audit_only_not_for_training_or_tuning,unmatched_missing_parquet,MATR_b3c43.pkl,
48,139,3,0,5_3C_54PER_4C,5_3C_54PER_4C_NEWSTRUCTURE,b3c44,b3c44,1,-1.0,0.0034927282228084102,149,0,,audit_only_not_for_training_or_tuning,medium,MATR_b3c44.pkl,938.0
49,140,3,0,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,b3c45,b3c45,1,-2.0,0.001677176231796575,148,0,,audit_only_not_for_training_or_tuning,high,MATR_b3c45.pkl,1799.0
