battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,matr_source_key,external_eol_cycles,E_low,E_high,C_high,log_eol
30,116,3,22,3_7C_31PER_5_9C,3.7,31,5.9,1.0686967,10.8033723951577,0.0147235309442283,36.6638177137284,0,MATR_b3c21.pkl,770.0,226.8,177.0,5.9,6.646390514847729
31,119,3,25,5C_67PER_4C,5.0,67,4.0,1.0511289,10.1645542677994,0.0156254359247573,36.0629472851473,0,MATR_b3c24.pkl,823.0,250.0,137.0,4.566666666666666,6.71295620067707
32,120,3,26,5_3C_54PER_4C,5.3,54,4.0,1.0654705,10.1516542560729,0.0158067213299595,37.0596551133752,0,MATR_b3c25.pkl,988.0,265.0,125.2,4.173333333333334,6.895682697747868
33,121,3,27,5_6C_19PER_4_6C,5.6,19,4.6,1.0758095,10.2456923677378,0.0158283227020448,37.351300097473,0,MATR_b3c26.pkl,1025.0,249.0,138.0,4.6,6.932447891572509
34,122,3,28,5_6C_36PER_4_3C,5.6,36,4.3,1.0644526,10.2173661484099,0.0150317367102474,36.7827816190045,0,MATR_b3c27.pkl,847.0,261.8,129.0,4.3,6.741700694652055
35,123,3,29,3_7C_31PER_5_9C,3.7,31,5.9,1.0526985,10.9003622808642,0.0142349387518519,37.5017204295249,0,MATR_b3c28.pkl,539.0,226.8,177.0,5.9,6.289715570908998
36,125,3,31,5_3C_54PER_4C,5.3,54,4.0,1.0723398,10.1718277480371,0.0156827995835118,33.1446326677589,0,MATR_b3c30.pkl,933.0,265.0,125.2,4.173333333333334,6.838405200847344
37,128,3,34,5C_67PER_4C,5.0,67,4.0,1.0629164,10.1144099012732,0.0154549562766952,34.074108795871,0,MATR_b3c33.pkl,1282.0,250.0,137.0,4.566666666666666,7.156176637480615
38,129,3,35,5_3C_54PER_4C,5.3,54,4.0,1.0642781,10.1409416436186,0.0155329390216076,37.3183949827542,0,MATR_b3c34.pkl,1156.0,265.0,125.2,4.173333333333334,7.052721049232323
39,130,3,36,5_6C_19PER_4_6C,5.6,19,4.6,1.0654298,10.2255189026251,0.0155038318296703,37.1445099087198,0,MATR_b3c35.pkl,1091.0,249.0,138.0,4.6,6.994849985833071
40,131,3,37,5_6C_36PER_4_3C,5.6,36,4.3,1.0606048,10.1933407266812,0.0153117584880694,37.4656845936636,0,MATR_b3c36.pkl,921.0,261.8,129.0,4.3,6.825460036255307
42,133,3,39,5C_67PER_4C,5.0,67,4.0,1.0726566,10.1268713745261,0.016020166975181,36.2175029820195,0,MATR_b3c38.pkl,1932.0,250.0,137.0,4.566666666666666,7.566311014772463
43,134,3,40,5_3C_54PER_4C,5.3,54,4.0,1.0515106,10.1135283477634,0.0156783308831169,35.02828335,0,MATR_b3c39.pkl,1154.0,265.0,125.2,4.173333333333334,7.050989447068045
44,135,3,41,5_6C_19PER_4_6C,5.6,19,4.6,1.0638335,10.275761475891,0.0154024676779874,35.6420392179827,0,MATR_b3c40.pkl,794.0,249.0,138.0,4.6,6.677083461247136
45,136,3,42,5_6C_36PER_4_3C,5.6,36,4.3,1.0548838,10.2448038980892,0.0184627738942675,34.7929750807789,0,MATR_b3c41.pkl,784.0,261.8,129.0,4.3,6.664409020350408
48,139,3,45,5_3C_54PER_4C,5.3,54,4.0,1.0739049,10.1638524955626,0.0156670028477103,34.4465209353796,0,MATR_b3c44.pkl,938.0,265.0,125.2,4.173333333333334,6.843749949006225
49,140,3,46,4_8C_80PER_4_8C,4.8,80,4.8,1.0721447,11.1468243490742,0.0156723353866667,33.7223749238768,0,MATR_b3c45.pkl,1799.0,240.0,144.0,4.8,7.4949862339505335
