target,group,feature,n,pearson,pearson_p,spearman,spearman_p
fade200,all,ir_mean,40,-0.22976583860996425,0.15379629363132635,-0.3960600375234522,0.011410278907948502
fade200,all,ir_std,40,-0.06034473163189184,0.7114653744093733,0.10393996247654785,0.5233037126961257
fade200,all,ir_slope,40,0.33907133244006754,0.03232803319580228,0.14015009380863042,0.3883859194450303
fade200,all,ir_rel_end,40,0.5985703071658425,4.506535857019824e-05,0.11238273921200752,0.48992731881850393
fade200,all,tavg_mean,40,0.024701303393393825,0.8797439387489523,0.2834896810506567,0.07628524738478631
fade200,all,tavg_std,40,0.30204815953589703,0.05819127577784228,0.4632270168855535,0.0026114439631372455
fade200,all,tavg_slope,40,-0.047107368532932584,0.7728523290121141,0.1986866791744841,0.2190507762640555
fade200,all,ct_mean,40,0.08695693172982821,0.5936619044264191,0.06829268292682927,0.6754250855901633
fade200,all,ct_std,40,0.5775946660614436,9.522858646596548e-05,0.03771106941838649,0.8172955302360512
fade200,all,ct_slope,40,0.7766596631193924,3.845330399768937e-09,0.3026266416510319,0.05768788333830537
fade200,all,C1,40,-0.5040889807453228,0.0009118666476980104,0.08947757041970704,0.5829613046724351
fade200,all,Q1,40,-0.10890382899841272,0.5035456564958406,-0.335635717248066,0.03423575415241149
fade200,all,C2,40,0.503703670242706,0.0009215274537047241,0.2743392657208979,0.08669487788992739
fade200,all,initial_capacity,40,-0.4256037983001008,0.0061824357409290915,-0.33039399624765486,0.03732345223451959
fade200,all,dataset_id,40,-0.08228388343590785,0.6137244668017148,-0.1590499223517165,0.32694748255932315
fade200,all,t1,40,0.033017791123205964,0.8397165194675033,-0.28230350852489267,0.07757660541910606
fade200,all,t2,40,0.0066923803749128485,0.967308194248526,0.29198201300815785,0.06752473270834769
fade200,all,t12,40,0.1338548727461801,0.41025618425428517,-0.05501640236819685,0.7359840889467661
fade200,all,avgC80,40,-0.04560765185447871,0.7799019415255396,0.1213401482283029,0.4557580296592736
fade200,all,C1_over_C2,40,-0.6526688559602714,5.018183327037778e-06,-0.22994780171986723,0.1534616158684389
late_mean,all,soh1,40,0.659853567797685,3.6273482034014305e-06,-0.10093808630393997,0.5354347430599116
late_mean,all,soh150,40,0.9949439754061584,1.5217382370917202e-39,0.9868667917448407,1.0687951445567146e-31
late_mean,all,fade150,40,-0.6784426732305815,1.5026677665503459e-06,-0.8589118198874298,1.3418369115162174e-12
late_mean,all,soh_lin_slope,40,0.6084412227114896,3.1111066035419314e-05,0.7562851782363977,1.662550449949889e-08
late_mean,all,soh_quad_curv,40,0.20720777480344768,0.19952092729132542,0.26829268292682934,0.09415589940055911
late_mean,all,soh_fit_resid_std,40,0.11151522501115946,0.4933053317175704,-0.15046904315197,0.35404888913114185
late_mean,all,pw_a,30,-0.6159324504266204,0.00029063677248747133,-0.6351501668520578,0.00016279476455324394
late_mean,all,pw_b,30,0.29806874315360626,0.10963711926317882,0.4255839822024471,0.019042433916117374
late_mean,all,exp_a,40,-0.566151367140382,0.00014023889608187634,-0.9196998123827395,5.183644187525142e-17
late_mean,all,exp_b,40,0.12892700610182958,0.42785544324843083,-0.6664165103189494,2.676175772721854e-06
late_mean,all,exp_c,40,0.5855832015484883,7.205398270268252e-05,0.930018761726079,4.162358584751822e-18
late_mean,all,d1_50,40,0.560713346320169,0.00016772956754373714,0.3786116322701689,0.01599348757326797
late_mean,all,d50_100,40,0.7200747622189302,1.627164821446163e-07,0.9148217636022515,1.5221088372547456e-16
late_mean,all,d100_150,40,0.6782483907918504,1.5170652697092732e-06,0.8731707317073172,2.0179448174787743e-13
late_mean,all,soh_slope_1_50,40,0.15804106449273841,0.3300648793149866,0.2281425891181989,0.15680546928364392
late_mean,all,ir_mean,40,0.27631174726859997,0.08436278831862631,0.3838649155722327,0.01447376881554424
late_mean,all,ir_std,40,-0.10313341948836892,0.5265497206289225,-0.24221388367729837,0.1321074657048848
late_mean,all,ir_slope,40,-0.3284463129182338,0.038527189277680896,-0.23039399624765483,0.1526431976807824
late_mean,all,ir_rel_end,40,-0.37407307568950443,0.01741278648099521,-0.08611632270168856,0.5972495361667547
late_mean,all,tavg_mean,40,-0.08224895304983709,0.6138755071202501,-0.24596622889305816,0.12603894523182832
late_mean,all,tavg_std,40,-0.33622272620951266,0.03390341514852582,-0.5024390243902439,0.000953878178285824
late_mean,all,tavg_slope,40,0.023226772108964164,0.8868747184536497,-0.17542213883677302,0.27893772240766657
late_mean,all,ct_mean,40,-0.12817466692092522,0.43057893350905563,-0.11388367729831146,0.4841111564515871
late_mean,all,ct_std,40,-0.3588258662563871,0.022980274962103524,-0.01557223264540338,0.9240208711285818
late_mean,all,ct_slope,40,-0.5322092318382797,0.00040823822478541994,-0.28611632270168863,0.0734855849871797
late_mean,all,C1,40,0.4109995914207276,0.008425766705882735,-0.017393048245731388,0.9151673762319843
late_mean,all,Q1,40,-0.07225336055082265,0.6577225223209373,0.2617307618243618,0.10280164842649202
late_mean,all,C2,40,-0.4620284239359345,0.002688183577913508,-0.28011685643457074,0.08000188902438359
late_mean,all,initial_capacity,40,-0.025860008661944878,0.8741470150060804,0.24296435272045033,0.13087671026138498
late_mean,all,dataset_id,40,0.01936915299188792,0.9055702590631058,0.1829376483322975,0.25852771324282536
late_mean,all,t1,40,-0.1459775066644216,0.368762010264612,0.20723795088952904,0.1994540109578951
late_mean,all,t2,40,0.15195666510055184,0.34925545351410786,-0.2153965669732312,0.18193528230997388
late_mean,all,t12,40,-0.061840596844070214,0.7046320038454547,-0.02689057317823784,0.8691741181271339
late_mean,all,avgC80,40,0.016203237296798734,0.9209516102834748,-0.03468218802140216,0.8317500154189597
late_mean,all,C1_over_C2,40,0.5842290464191688,7.558070569972536e-05,0.27475028765029935,0.08620484755669208
